Model,K,Precision@K,Recall@K,NDCG@K,Hit Rate@K
Random,5,0.0011545605140304204,0.0004555173889472607,0.001193702725681323,0.005756069809079196
Random,10,0.0011830062078543584,0.0010283879195917178,0.001328022499359739,0.011612536184595821
Random,20,0.0011595803423522916,0.0020318020086976677,0.0016596066293560448,0.022522296404129647
Popularity,5,0.004056021284072084,0.007502630920894769,0.009927773671540187,0.020263373659287518
Popularity,10,0.036040694074929304,0.05764665395692697,0.045006570441905806,0.35132105148670584
Popularity,20,0.01982748523333835,0.06490888433641002,0.044622057996452844,0.36186269096263574
Genre-Based,5,0.01499480149408911,0.007009594973692787,0.010565681509116383,0.07497400747044553
Genre-Based,10,0.007974893141822944,0.007837158987182256,0.00818002871712036,0.07940236435750318
Genre-Based,20,0.004647849358850938,0.009777415413235242,0.007712502875909699,0.09093534598944895
Playtime-Weighted CF (Advanced),5,0.0725432123554708,0.05677322624920591,0.0975933605059577,0.3497314391847799
Playtime-Weighted CF (Advanced),10,0.03847865736325151,0.060604072190472,0.07860722251525254,0.355504241754932
Playtime-Weighted CF (Advanced),20,0.02144386995298094,0.06711848865346254,0.073804214060757,0.3679366832321001
